Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
GPU,ee-snowball1,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,23200000,0.023659,804844260.382308,
Projection,linear,23300000,0.023608,808303982.104571,
Projection,linear,23400000,0.023557,811763703.826834,
Projection,linear,23500000,0.023507,815223425.549098,
Projection,linear,23600000,0.023457,818683147.271361,
Projection,linear,23700000,0.023407,822142868.993624,
Projection,linear,23800000,0.023357,825602590.715888,
Projection,linear,23900000,0.023308,829062312.438151,
Projection,linear,24000000,0.023259,832522034.160414,
Projection,linear,24100000,0.023211,835981755.882678,
Projection,linear,24200000,0.023163,839441477.604941,
Projection,linear,24300000,0.023115,842901199.327204,
Projection,linear,24400000,0.023067,846360921.049468,
Projection,linear,24500000,0.023020,849820642.771731,
Projection,linear,24600000,0.022973,853280364.493994,
Projection,linear,24700000,0.022926,856740086.216258,
Projection,linear,24800000,0.022880,860199807.938521,
Projection,linear,24900000,0.022834,863659529.660784,
Projection,linear,25000000,0.022788,867119251.383048,
Projection,linear,25100000,0.022742,870578973.105311,
Projection,linear,25200000,0.022697,874038694.827575,
Projection,linear,25300000,0.022652,877498416.549838,
Projection,linear,25400000,0.022607,880958138.272101,
Projection,linear,25500000,0.022562,884417859.994365,
Projection,linear,25600000,0.022518,887877581.716628,
Projection,linear,25700000,0.022474,891337303.438891,
Projection,linear,25800000,0.022430,894797025.161155,
Projection,linear,25900000,0.022387,898256746.883418,
Projection,linear,26000000,0.022343,901716468.605681,
Projection,linear,26100000,0.022300,905176190.327945,
Projection,linear,26200000,0.022258,908635912.050208,
Projection,linear,26300000,0.022215,912095633.772471,
Projection,linear,26400000,0.022173,915555355.494735,
Projection,linear,26500000,0.022131,919015077.216998,
Projection,linear,26600000,0.022089,922474798.939261,
Projection,linear,26700000,0.022047,925934520.661525,
Projection,linear,26800000,0.022006,929394242.383788,
Projection,linear,26900000,0.021965,932853964.106051,
Projection,linear,27000000,0.021924,936313685.828315,
Projection,linear,27100000,0.021883,939773407.550578,
Projection,linear,27200000,0.021843,943233129.272842,
Projection,linear,27300000,0.021803,946692850.995105,
