Forward Financial Framework Kaiserslatuarn+ Model Experiments Results,
CPU,ee-benjamin.ee.ic.ac.uk,
Type,Stepping,Simulation Paths,Accuracy,Latency,
Projection,linear,15900000,0.054528,1270944416.489671,
Projection,linear,16000000,0.054365,1278914455.366471,
Projection,linear,16100000,0.054204,1286884494.243271,
Projection,linear,16200000,0.054044,1294854533.120071,
Projection,linear,16300000,0.053886,1302824571.996871,
Projection,linear,16400000,0.053729,1310794610.873671,
Projection,linear,16500000,0.053574,1318764649.750471,
Projection,linear,16600000,0.053420,1326734688.627271,
Projection,linear,16700000,0.053268,1334704727.504071,
Projection,linear,16800000,0.053116,1342674766.380871,
Projection,linear,16900000,0.052966,1350644805.257671,
Projection,linear,17000000,0.052818,1358614844.134471,
Projection,linear,17100000,0.052671,1366584883.011271,
Projection,linear,17200000,0.052525,1374554921.888072,
Projection,linear,17300000,0.052380,1382524960.764871,
Projection,linear,17400000,0.052236,1390494999.641671,
Projection,linear,17500000,0.052094,1398465038.518472,
Projection,linear,17600000,0.051953,1406435077.395272,
Projection,linear,17700000,0.051813,1414405116.272072,
Projection,linear,17800000,0.051675,1422375155.148872,
Projection,linear,17900000,0.051537,1430345194.025672,
Projection,linear,18000000,0.051401,1438315232.902472,
Projection,linear,18100000,0.051265,1446285271.779272,
Projection,linear,18200000,0.051131,1454255310.656072,
Projection,linear,18300000,0.050998,1462225349.532872,
Projection,linear,18400000,0.050866,1470195388.409672,
Projection,linear,18500000,0.050735,1478165427.286472,
Projection,linear,18600000,0.050606,1486135466.163272,
Projection,linear,18700000,0.050477,1494105505.040072,
Projection,linear,18800000,0.050349,1502075543.916873,
Projection,linear,18900000,0.050222,1510045582.793672,
Projection,linear,19000000,0.050097,1518015621.670472,
Projection,linear,19100000,0.049972,1525985660.547272,
Projection,linear,19200000,0.049848,1533955699.424073,
Projection,linear,19300000,0.049725,1541925738.300873,
Projection,linear,19400000,0.049603,1549895777.177672,
Projection,linear,19500000,0.049482,1557865816.054472,
Projection,linear,19600000,0.049362,1565835854.931273,
Projection,linear,19700000,0.049243,1573805893.808073,
Projection,linear,19800000,0.049125,1581775932.684873,
Projection,linear,19900000,0.049008,1589745971.561673,
Projection,linear,20000000,0.048891,1597716010.438473,
Projection,linear,20100000,0.048776,1605686049.315273,
Projection,linear,20200000,0.048661,1613656088.192073,
Projection,linear,20300000,0.048547,1621626127.068873,
Projection,linear,20400000,0.048434,1629596165.945673,
Projection,linear,20500000,0.048322,1637566204.822473,
Projection,linear,20600000,0.048211,1645536243.699273,
Projection,linear,20700000,0.048100,1653506282.576073,
Projection,linear,20800000,0.047990,1661476321.452873,
Projection,linear,20900000,0.047881,1669446360.329673,
Projection,linear,21000000,0.047773,1677416399.206473,
Projection,linear,21100000,0.047666,1685386438.083273,
Projection,linear,21200000,0.047559,1693356476.960073,
Projection,linear,21300000,0.047453,1701326515.836873,
Projection,linear,21400000,0.047348,1709296554.713673,
Projection,linear,21500000,0.047243,1717266593.590473,
Projection,linear,21600000,0.047139,1725236632.467273,
Projection,linear,21700000,0.047036,1733206671.344074,
Projection,linear,21800000,0.046934,1741176710.220873,
Projection,linear,21900000,0.046832,1749146749.097673,
Projection,linear,22000000,0.046732,1757116787.974473,
Projection,linear,22100000,0.046631,1765086826.851274,
Projection,linear,22200000,0.046532,1773056865.728073,
Projection,linear,22300000,0.046433,1781026904.604873,
Projection,linear,22400000,0.046335,1788996943.481673,
Projection,linear,22500000,0.046237,1796966982.358474,
Projection,linear,22600000,0.046140,1804937021.235273,
Projection,linear,22700000,0.046044,1812907060.112073,
Projection,linear,22800000,0.045948,1820877098.988874,
Projection,linear,22900000,0.045853,1828847137.865674,
Projection,linear,23000000,0.045759,1836817176.742474,
Projection,linear,23100000,0.045665,1844787215.619274,
Projection,linear,23200000,0.045572,1852757254.496074,
Projection,linear,23300000,0.045479,1860727293.372874,
Projection,linear,23400000,0.045387,1868697332.249674,
Projection,linear,23500000,0.045296,1876667371.126474,
Projection,linear,23600000,0.045205,1884637410.003274,
Projection,linear,23700000,0.045114,1892607448.880074,
Projection,linear,23800000,0.045025,1900577487.756874,
Projection,linear,23900000,0.044936,1908547526.633674,
Projection,linear,24000000,0.044847,1916517565.510474,
Projection,linear,24100000,0.044759,1924487604.387274,
Projection,linear,24200000,0.044671,1932457643.264074,
Projection,linear,24300000,0.044584,1940427682.140874,
Projection,linear,24400000,0.044498,1948397721.017674,
Projection,linear,24500000,0.044412,1956367759.894475,
Projection,linear,24600000,0.044327,1964337798.771275,
Projection,linear,24700000,0.044242,1972307837.648074,
Projection,linear,24800000,0.044158,1980277876.524874,
Projection,linear,24900000,0.044074,1988247915.401675,
Projection,linear,25000000,0.043990,1996217954.278475,
Projection,linear,25100000,0.043908,2004187993.155275,
Projection,linear,25200000,0.043825,2012158032.032074,
Projection,linear,25300000,0.043743,2020128070.908875,
Projection,linear,25400000,0.043662,2028098109.785675,
Projection,linear,25500000,0.043581,2036068148.662475,
Projection,linear,25600000,0.043501,2044038187.539275,
Projection,linear,25700000,0.043421,2052008226.416075,
Projection,linear,25800000,0.043341,2059978265.292875,
Projection,linear,25900000,0.043262,2067948304.169675,
